  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons droits,Straight pants,Catégorie_Pantalons droits,Category_Straight pants,"Pantalons droits,Straight pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons écourtés,Cropped pants,Catégorie_Pantalons écourtés,Category_Cropped pants,"Pantalons écourtés,Cropped pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons en cuir,Leather pants,Catégorie_Pantalons en cuir,Category_Leather pants,"Pantalons en cuir,Leather pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons en faux cuir,Faux leather pants,Catégorie_Pantalons en faux cuir,Category_Faux leather pants,"Pantalons en faux cuir,Faux leather pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons habillés,Dress pants,Catégorie_Pantalons habillés,Category_Dress pants,"Pantalons habillés,Dress pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons larges,Wide & flared pants,Catégorie_Pantalons larges,Category_Wide & flared pants,"Pantalons larges,Wide & flared pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons slim,Slim pants,Catégorie_Pantalons slim,Category_Slim pants,"Pantalons slim,Slim pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Shorts,Shorts,Catégorie_Shorts,Category_Shorts,"Shorts,Shorts,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",
Femme,Women ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Cardigans,Cardigans,Catégorie_Cardigans,Category_Cardigans,"Cardigans,Cardigans,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Ponchos,Ponchos,Catégorie_Ponchos,Category_Ponchos,"Ponchos,Ponchos,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Pulls,Knitwear,Catégorie_Pulls,Category_Knitwear,"Pulls,Knitwear,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Sweatshirts & Hoodies,Sweatshirts & Hoodies,Catégorie_Sweatshirts & Hoodies,Category_Sweatshirts & Hoodies,"Sweatshirts & Hoodies,Sweatshirts & Hoodies,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Category_Sweater & Knitwear ,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Done
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes courtes,Short dresses,Catégorie_Robes courtes,Category_Short dresses,"Robes courtes,Short dresses,Catégorie_Robes,Category_Dresses",Robes,Category_Dresses,Dresses,"Catégorie_Robes,Category_Dresses",Done
